target_id,run_id,step,layer,match_class,ds_block,ds_noise,corrected_residual_block,corrected_residual_noise,corrected_reversal_block,corrected_reversal_noise,intact_margin_mean_block,intact_margin_mean_noise,delta_b_mean_block,delta_b_mean_noise,logit_delta_norm_mean_block,logit_delta_norm_mean_noise,abs_cosine_alignment_mean_block,abs_cosine_alignment_mean_noise,stratum_0_flip_rate_block,stratum_0_flip_rate_noise,stratum_1_flip_rate_block,stratum_1_flip_rate_noise,stratum_2_flip_rate_block,stratum_2_flip_rate_noise,family_residual,delta_boundary_difference,log_norm_ratio,abs_cosine_difference,intact_margin,stratum_0_residual,stratum_1_residual,stratum_2_residual
r2_s14000_l1,2,14000,1,A,0.4045138888888889,0.4122540509259259,0.007740162037037,0.007740162037037,True,True,1.3771607875823975,1.3771607875823975,-0.13787978887557983,-0.30280357599258423,243.5110626220703,242.9678497314453,0.0032270788215100765,0.003155624959617853,0.644199611147116,0.6325340246273493,0.4172099087353325,0.4248152976966536,0.15022860875244937,0.17766165904637493,0.0077401620370369795,-0.1649237871170044,-0.0022332442479958883,-7.145386189222336e-05,1.3771607875823975,-0.01166558651976668,0.0076053889613211245,0.027433050293925565
r2_s14000_l10,2,14000,10,A,0.3068576388888889,0.3088831018518518,0.0020254629629629,0.0020254629629629,True,True,1.3771607875823975,1.3771607875823975,-0.08241187036037445,-0.07840490341186523,204.04476928710938,224.84707641601562,0.003030718071386218,0.002523495117202401,0.5567077122488658,0.5666450637286671,0.288135593220339,0.29921773142112124,0.07380796864794252,0.05878510777269758,0.0020254629629629095,0.004006966948509216,0.097081083700598,-0.0005072229541838169,1.3771607875823975,0.009937351479801237,0.011082138200782243,-0.015022860875244938
r2_s14000_l2,2,14000,2,A,0.4437934027777778,0.4466145833333333,0.0028211805555555,0.0028211805555555,True,True,1.3771607875823975,1.3771607875823975,-0.26186659932136536,-0.3800823986530304,267.0230712890625,261.4975280761719,0.0030098543502390385,0.0032187162432819605,0.6474400518470512,0.6513285806869734,0.4863102998696219,0.45632333767926986,0.1959503592423253,0.23056825604180275,0.0028211805555555247,-0.11821579933166504,-0.020910233392798978,0.00020886189304292202,1.3771607875823975,0.0038885288399221896,-0.029986962190352018,0.034617896799477466
r2_s14000_l3,2,14000,3,A,0.4761284722222222,0.4419849537037037,-0.0341435185185184,-0.0341435185185184,False,False,1.3771607875823975,1.3771607875823975,-0.25167810916900635,-0.2629562020301819,279.07080078125,297.6407470703125,0.003118542954325676,0.002933186013251543,0.6902138690861958,0.656945344566861,0.5058670143415906,0.4445893089960887,0.23056825604180275,0.22273024167210972,-0.03414351851851849,-0.011278092861175537,0.06442169663625927,-0.00018535694107413292,1.3771607875823975,-0.03326852451933471,-0.061277705345501976,-0.00783801436969303
r2_s14000_l4,2,14000,4,A,0.2957899305555556,0.2819010416666667,-0.0138888888888888,-0.0138888888888888,False,False,1.3771607875823975,1.3771607875823975,-0.2136213481426239,-0.12099655717611313,163.35345458984375,193.87530517578125,0.0032588252797722816,0.0026682140305638313,0.542449773169151,0.5230071289695398,0.27249022164276404,0.24967405475880053,0.0705421293272371,0.07119529719137818,-0.013888888888888895,0.09262479096651077,0.17129890936521194,-0.0005906112492084503,1.3771607875823975,-0.01944264419961117,-0.022816166883963512,0.0006531678641410882
r2_s14000_l6,2,14000,6,A,0.259765625,0.2347366898148148,-0.0250289351851851,-0.0250289351851851,False,False,1.3771607875823975,1.3771607875823975,-0.11310449987649918,-0.07605056464672089,157.48333740234375,166.53916931152344,0.003117629326879978,0.00255077937617898,0.49967595593000647,0.47677684165046447,0.2392438070404172,0.18491960017383746,0.038536903984323974,0.040714130198127585,-0.025028935185185203,0.03705393522977829,0.055910874475307785,-0.0005668499507009983,1.3771607875823975,-0.022899114279542,-0.05432420686657974,0.002177226213803611
r2_s14000_l9,2,14000,9,A,0.2803819444444444,0.2425491898148148,-0.0378327546296295,-0.0378327546296295,False,False,1.3771607875823975,1.3771607875823975,-0.06232960894703865,-0.033732518553733826,176.159423828125,185.40731811523438,0.0029790857806801796,0.002453790744766593,0.5314322747893714,0.49816375027003673,0.26792698826597133,0.1853541938287701,0.039843239712606136,0.042238188547790115,-0.03783275462962962,0.028597090393304825,0.05116572214888274,-0.0005252950359135866,1.3771607875823975,-0.03326852451933465,-0.08257279443720122,0.0023949488351839784
r2_s143000_l1,2,143000,1,A,0.5184461805555556,0.5147569444444444,-0.0036892361111111,-0.0036892361111111,False,False,1.4242316484451294,1.4242316484451294,-0.2700873613357544,-0.43679922819137573,740.2431640625,943.7932739257812,0.001738650957122445,0.0012942447792738676,0.7208121827411168,0.7011421319796954,0.5494722955145118,0.538698328935796,0.2770448548812665,0.2970536499560246,-0.0036892361111111605,-0.16671186685562134,0.24292842037290951,-0.0004444061778485775,1.4242316484451294,-0.019670050761421365,-0.010773966578715877,0.020008795074758112
r2_s143000_l10,2,143000,10,A,0.4926215277777778,0.5166377314814815,0.0240162037037037,0.0240162037037037,True,True,1.4242316484451294,1.4242316484451294,-0.5007866621017456,-0.14803597331047058,941.5951538085938,1100.8914794921875,0.0012624539667740464,0.00120887765660882,0.6782994923857868,0.7191201353637902,0.5270448548812665,0.5595866314863677,0.26517150395778366,0.2631926121372032,0.02401620370370372,0.352750688791275,0.15630015729210406,-5.357631016522646e-05,1.4242316484451294,0.04082064297800336,0.03254177660510116,-0.001978891820580475
r2_s143000_l2,2,143000,2,A,0.5544704861111112,0.5467303240740741,-0.007740162037037,-0.007740162037037,False,False,1.4242316484451294,1.4242316484451294,-0.3731113076210022,-0.44313672184944153,1067.86767578125,770.2924194335938,0.0013531807344406843,0.0018014981178566813,0.7284263959390863,0.7127749576988156,0.6121372031662269,0.5543095866314863,0.3159630606860158,0.3665347405452946,-0.0077401620370370905,-0.07002541422843933,-0.32664890450955036,0.00044831738341599703,1.4242316484451294,-0.01565143824027071,-0.057827616534740556,0.050571679859278795
r2_s143000_l3,2,143000,3,A,0.5811631944444444,0.5217737268518519,-0.0593894675925925,-0.0593894675925925,False,False,1.4242316484451294,1.4242316484451294,-0.4529350996017456,-0.2722405195236206,864.5391845703125,660.9923095703125,0.0016501799691468477,0.0021892124786973,0.741751269035533,0.7053722504230119,0.6312664907651715,0.5200087950747582,0.3641160949868074,0.3326737027264732,-0.05938946759259256,0.180694580078125,-0.2684544251316897,0.0005390325095504522,1.4242316484451294,-0.03637901861252113,-0.11125769569041333,-0.03144239226033424
